Name	COUNT	SUM(Wall Duration)	SUM(Self Duration)	AVG(Wall Duration)
Choreographer#doFrame	10	328411822	250154	32841182.2
traversal	10	327223228	43305619	32722322.8
activityStart	2	322811823	180856296	161405911.5
inflate	62	294345106	116345266	4747501.70967742
bindApplication	1	186934167	66149377	186934167
binder transaction	382	183487397	183487397	480333.5
layout	10	179516979	2619325	17951697.9
RV OnLayout	18	178391822	53270726	9910656.777777778
res/5G0.png	1	72902760	72793333	72902760
ResourcesManager#applyConfigurationToResourcesLocked	5	44925677	43495363	8985135.4
OpenDexFilesFromOat	2	42981666	2072238	21490833
/data/app/com.kedacom.ovopark-h0rioP18d20KvM5mbFnD7Q==/base.apk	1	39655417	361407	39655417
AppImage:Loading	1	34351198	93437	34351198
draw	15	31132189	23029116	2075479.2666666666
measure	19	25784378	17232867	1357072.5263157894
activityResume	2	25554218	10174218	12777109
FlutterLoader#ensureInitializationComplete	1	19347448	18221927	19347448
VerifyClass com.kedacom.ovopark.ui.HomeOldActivity	1	16067187	16067187	16067187
Adding image space for location /data/app/com.kedacom.ovopark-h0rioP18d20KvM5mbFnD7Q==/base.apk	1	13753177	271615	13753177
com.ovopark.floor.lib_home_data_floor.homeV2View.CircularPercentView	3	13398645	13398645	4466215
ActivityThreadMain	1	12776563	1668334	12776563
LinearLayout	113	12158439	10831408	107596.80530973451
AppImage:Updating	1	11897448	707812	11897448
RelocateImage	1	11751458	98540	11751458
dispatchApplyInsets	12	11613387	7289586	967782.25
Shell::CreateWithSnapshot	1	11232396	11202709	11232396
AppImage:InternString	1	11189636	11189636	11189636
ResourcesManager#getResources	39	10893542	3521564	279321.58974358975
res/Sgf.9.png	1	10195625	10156614	10195625
com.ovopark.widget.CircularProgress	1	9704218	9704218	9704218
androidx.constraintlayout.widget.ConstraintLayout	41	8747713	7547297	213358.8536585366
MapImageFile	1	8698542	643125	8698542
Record View#draw()	14	8103073	6885882	578790.9285714285
Waiting for workers	1	8055417	243022	8055417
LZ4 decompress block	14	7812395	7812395	558028.2142857143
/system/framework/org.apache.http.legacy.jar	1	7478282	393647	7478282
RV CreateView	6	6840728	561979	1140121.3333333333
RelativeLayout	26	6805101	4916560	261734.65384615384
serviceCreate: CreateServiceData{token=android.os.BinderProxy@483dcd8 className=com.amap.api.location.APSService packageName=com.kedacom.ovopark intent=null}	1	5573645	5573645	5573645
Fixup objects	1	5557917	5557917	5557917
AssetManager::OpenXmlAsset(res/RHk.xml)	2	5152604	5152604	2576302
Open dex file /system/framework/org.apache.http.legacy.jar	1	4913334	4272	4913334
Dex file open Zip /system/framework/org.apache.http.legacy.jar	1	4909062	54010	4909062
Dex file open from Zip /system/framework/org.apache.http.legacy.jar	1	4855052	12605	4855052
Dex file open from Zip Archive /system/framework/org.apache.http.legacy.jar	1	4837708	4837708	4837708
VerifyClass com.ovopark.ui.base.ToolbarActivity	1	4744531	4744531	4744531
com.flyco.tablayout.widget.MsgView	12	4517449	4355887	376454.0833333333
DartMessenger#handleMessageFromDart on dev.fluttercommunity.plus/device_info	1	4205000	1272864	4205000
VerifyClass com.gyf.immersionbar.ImmersionBar	1	3869844	3869844	3869844
Fixup classes	1	3629271	3629271	3629271
