Name	COUNT	SUM(Wall Duration)	SUM(Self Duration)	AVG(Wall Duration)
Choreographer#doFrame	10	753684219	287504	75368421.9
traversal	10	750074999	73848695	75007499.9
inflate	106	700769897	198351995	6611036.764150944
RV OnLayout	29	518290831	235572499	17872097.620689657
layout	10	516116041	4136823	51611604.1
activityStart	2	469546874	90180572	234773437
WebView	2	229911562	52827656	114955781
binder transaction	579	226288277	226288277	390826.0397236615
bindApplication	1	220520313	69324217	220520313
WebViewChromium.init	2	102241824	594898	51120912
draw	13	83281404	51795259	6406261.846153846
ResourcesManager#applyConfigurationToResourcesLocked	5	70711248	67548489	14142249.6
WebViewChromiumFactoryProvider.startYourEngines	61	65283327	234317	1070218.475409836
WebViewChromiumAwInit.startChromiumLocked	1	65049010	1759686	65049010
OpenDexFilesFromOat	4	60227813	3065158	15056953.25
AwBrowserProcess.start	1	50928958	1160780	50928958
AwBrowserProcess.startBrowserProcessesSync	1	47675469	39455316	47675469
res/5G0.png	1	47121979	47098229	47121979
/data/app/com.kedacom.ovopark-s9DXrqnyDWaBmsU90-ENtg==/base.apk	1	41749479	371927	41749479
AppImage:Loading	3	36089375	115781	12029791.666666666
WebViewChromium.initForReal	2	34285625	470521	17142812.5
AwContents.constructor	2	33815104	25909847	16907552
WebViewChromiumFactoryProvider.initialize	1	33252812	4229478	33252812
Record View#draw()	12	31486145	29729482	2623845.4166666665
activityResume	2	26263281	13920883	13131640.5
measure	20	23770680	17604795	1188534
LinearLayout	178	22119945	19724581	124269.35393258427
WebViewChromiumAwInit.setUpResourcesOnBackgroundThread	1	19921354	19921354	19921354
/system/product/app/WebViewGoogle/WebViewGoogle.apk	1	19380885	523646	19380885
createClassloaderNamespace	4	18501145	18501145	4625286.25
com.ovopark.floor.lib_home_data_floor.homeV2View.CircularPercentView	3	17489062	17489062	5829687.333333333
ResourcesManager#getResources	40	16933438	3659477	423335.95
VerifyClass com.kedacom.ovopark.ui.HomeOldActivity	1	16285053	16285053	16285053
FlutterLoader#ensureInitializationComplete	1	14394270	13701353	14394270
ActivityThreadMain	1	13983125	4069791	13983125
Adding image space for location /data/app/com.kedacom.ovopark-s9DXrqnyDWaBmsU90-ENtg==/base.apk	1	13945000	285883	13945000
res/8AC.webp	1	12779427	12761510	12779427
RV CreateView	11	12518384	1979062	1138034.9090909092
androidx.appcompat.widget.AppCompatEditText	1	12419844	9687968	12419844
RelocateImage	1	12357292	110000	12357292
RelativeLayout	62	12158334	10423490	196102.16129032258
dispatchApplyInsets	13	11990313	10320106	922331.7692307692
AppImage:Updating	1	11892969	743022	11892969
res/Sgf.9.png	1	11252084	11212710	11252084
AppImage:InternString	1	11149947	11149947	11149947
Shell::CreateWithSnapshot	1	10771979	10741510	10771979
com.ovopark.widget.CircularProgress	1	10711145	10711145	10711145
androidx.constraintlayout.widget.ConstraintLayout	43	9977912	8939736	232044.46511627908
/system/product/app/TrichromeLibrary/TrichromeLibrary.apk	1	9763906	436406	9763906
MapImageFile	1	9592031	940677	9592031
/system/framework/org.apache.http.legacy.jar	1	9564844	398177	9564844
Lock contention on JNI shared libraries map lock (owner tid: 27926)	3	9310781	9310781	3103593.6666666665
broadcastReceiveReg	9	8713127	2918127	968125.2222222222
Waiting for workers	1	8651354	215209	8651354
LZ4 decompress block	14	8436145	8436145	602581.7857142857
serviceBind	1	8237135	375156	8237135
res/0m1.webp	1	8163958	8128489	8163958
res/CEm.webp	1	7857187	7829270	7857187
Open oat file /data/dalvik-cache/arm64/system@product@app@WebViewGoogle@WebViewGoogle.apk@classes.dex	1	7658072	7658072	7658072
Open dex file /system/framework/org.apache.http.legacy.jar	1	6986354	4167	6986354
Dex file open Zip /system/framework/org.apache.http.legacy.jar	1	6982187	37656	6982187
Dex file open from Zip /system/framework/org.apache.http.legacy.jar	1	6944531	13124	6944531
Dex file open from Zip Archive /system/framework/org.apache.http.legacy.jar	1	6927500	6927500	6927500
LoadApkAssets(/system/product/app/WebViewGoogle/WebViewGoogle.apk)	3	6142760	3141563	2047586.6666666667
Fixup objects	1	6018334	6018334	6018334
DartMessenger#handleMessageFromDart on dev.fluttercommunity.plus/device_info	1	5977812	1132082	5977812
Lock contention on InternTable lock (owner tid: 0)	11	5810574	5810574	528234
com.ovopark.lib_base_webview.widget.ConflictWebView	1	5669584	1927760	5669584
androidx.recyclerview.widget.RecyclerView	21	5283906	5283906	251614.57142857142
WebViewChromium.constructor	2	5025782	1360626	2512891
serviceCreate: CreateServiceData{token=android.os.BinderProxy@4cc3f0f className=com.amap.api.location.APSService packageName=com.kedacom.ovopark intent=null}	1	4879844	4879844	4879844
Open oat file /data/dalvik-cache/arm64/system@product@app@TrichromeLibrary@TrichromeLibrary.apk@classes.dex	1	4761979	4583593	4761979
Lock contention on runtime shutdown lock (owner tid: 28208)	1	4345365	4345365	4345365
com.flyco.tablayout.widget.MsgView	12	4292970	4179272	357747.5
AssetManager::OpenXmlAsset(res/layout/screen_simple.xml)	3	4037968	4037968	1345989.3333333333
com.kedacom.lib_video.widget.IjkPlayView	1	4018333	3444271	4018333
com.youth.banner.Banner	1	3967448	467708	3967448
FrameLayout	52	3965938	3792188	76268.03846153847
VerifyClass com.gyf.immersionbar.ImmersionBar	1	3827239	3827239	3827239
FlutterEngineConnectionRegistry#add FlutterToastPlugin	1	3720937	110468	3720937
AssetManager::SetApkAssets	12	3686613	3686613	307217.75
Fixup classes	1	3673490	3673490	3673490
ProgressBar	1	3661979	1238282	3661979
WebViewChromiumFactoryProvider.initCommandLine	1	3640209	3640209	3640209
VerifyClass io.github.ponnamkarthik.toast.fluttertoast.MethodCallHandlerImpl	1	3610469	3610469	3610469
PostFork	1	3601667	2662656	3601667
LoadedArsc::LoadTable	8	3504636	118752	438079.5
ResourcesImpl#updateConfiguration	12	3495312	732968	291276
WebViewChromiumAwInit.initThreadUnsafeSingletons	1	3449948	3120002	3449948
View	34	3408697	3183853	100255.79411764706
LoadedPackage::Load	8	3385884	3385884	423235.5
Startup	1	3289323	419532	3289323
com.flyco.tablayout.CommonTabLayout	2	3185937	3185937	1592968.5
animation	7	2878854	2878854	411264.85714285716
VerifyClass com.ovopark.ui.base.ToolbarActivity	1	2830729	2830729	2830729
me.relex.circleindicator.CircleIndicator2	1	2773282	2649271	2773282
WebViewChromiumAwInit.LibraryLoader	1	2764896	2761198	2764896
AssetManager::SetConfiguration	12	2762344	2762344	230195.33333333334
VerifyClass com.kedacom.ovopark.services.LocationReportService	1	2761198	2761198	2761198
WebViewChromiumFactoryProvider.loadChromiumLibrary	1	2739531	2635571	2739531
FlutterLoader#startInitialization	1	2725209	1723177	2725209
com.ovopark.widget.ScrollImageView	2	2715261	345052	1357630.5
com.facebook.drawee.view.SimpleDraweeView	1	2648854	2648854	2648854
com.ovopark.widget.BorderTextView	6	2575729	2575729	429288.1666666667
WebViewChromiumAwInit.doNetworkInitializations	1	2571615	1541198	2571615
com.scwang.smart.refresh.footer.ClassicsFooter	2	2333124	573593	1166562
decodeBitmap	2	2329428	2329428	1164714
Theme::ApplyStyle	56	2230415	2230415	39828.83928571428
LoadApkAssets(/data/app/com.kedacom.ovopark-s9DXrqnyDWaBmsU90-ENtg==/base.apk)	1	2179011	1755834	2179011
com.makeramen.roundedimageview.RoundedImageView	4	2106511	2106511	526627.75
DartMessenger#handleMessageFromDart on dev.fluttercommunity.plus/package_info	1	1931510	1060208	1931510
WebViewChromium.ContentSettingsAdapter	2	1876302	1220000	938151
Lock contention on InternTable lock (owner tid: 27893)	45	1758385	1758385	39075.22222222222
VerifyClass com.kedacom.ovopark.services.WebSocketService	1	1729531	1729531	1729531
Lock contention on InternTable lock (owner tid: 27904)	59	1663908	1663908	28201.830508474577
Open oat file /data/app/com.kedacom.ovopark-s9DXrqnyDWaBmsU90-ENtg==/oat/arm64/base.odex	1	1623125	1623125	1623125
Fixup methods	1	1618906	1618906	1618906
makeApplication	1	1578906	1348281	1578906
AwBrowserProcess.handleMinidumpsAndSetMetricsConsent	1	1555625	1187240	1555625
WebViewChromiumAwInit.initPlatSupportLibrary	1	1554271	1554271	1554271
VerifyClass dev.fluttercommunity.plus.packageinfo.PackageInfoPlugin	1	1465938	1332135	1465938
Lock contention on InternTable lock (owner tid: 27909)	7	1462291	1462291	208898.7142857143
res/ytK.png	1	1441875	1411458	1441875
res/DLk.png	1	1414271	1379896	1414271
VerifyClass cn.jiguang.a.a	1	1397448	1397448	1397448
VerifyClass com.ovopark.utils.PermissionUtil	1	1384427	1384427	1384427
LoadApkAssets(/system/product/app/TrichromeLibrary/TrichromeLibrary.apk)	2	1378907	1332709	689453.5
Lock contention on InternTable lock (owner tid: 27881)	1	1355573	1355573	1355573
ProfileInstallerInitializer	1	1347500	464219	1347500
androidx.cardview.widget.CardView	7	1334425	1334425	190632.14285714287
WebViewChromiumFactoryProvider.deleteContentsOnPackageDowngrade	1	1250521	1126823	1250521
AssetManager::OpenXmlAsset(res/anim/linear_interpolator.xml)	1	1231302	1231302	1231302
VerifyClass com.ovopark.helper.LocationHelper	1	1230989	1230989	1230989
com.ovopark.widget.CustomMapView	1	1228698	1228698	1228698
ResourcesManager#createBaseActivityResources	2	1226667	419739	613333.5
androidx.core.widget.NestedScrollView	4	1206719	1206719	301679.75
AwContents.getWindowAndroid	1	1203697	49530	1203697
com.ovopark.widget.CircleImageView	1	1192448	274375	1192448
AwBrowserProcess.maybeEnable	1	1178281	53958	1178281
ZygoteInit	1	1154636	1154636	1154636
androidx.appcompat.widget.AppCompatTextView	2	1153334	919273	576667
com.ovopark.widget.GradientTextView	1	1150104	1150104	1150104
AwSafeBrowsingConfigHelper.maybeEnableSafeBrowsingFromManifest	1	1124323	320209	1124323
FullSuspendCheck	4	1106821	894842	276705.25
AppImage:UpdateClassLoaders	1	1098490	1098490	1098490
Dart::Init	1	1055052	553646	1055052
com.google.android.material.appbar.AppBarLayout	1	1009270	967916	1009270
androidx.viewpager2.widget.ViewPager2	1	1003959	1003959	1003959
Lock contention on thread suspend count lock (owner tid: 27881)	19	995940	995940	52417.89473684211
ViewStub	15	995783	995783	66385.53333333334
ProcessLifecycleInitializer	1	980260	980260	980260
BrowserStartupController.prepareToStartBrowserProcess	1	979375	979375	979375
com.ovopark.floor.lib_home_data_floor.homeV2View.LinePercentView	3	968020	968020	322673.3333333333
res/color/secondary_text_material_light.xml	3	954895	215520	318298.3333333333
com.ovopark.floor.lib_home_data_floor.homeV2View.MaxRecyclerView	2	952707	952707	476353.5
res/xsl.png	1	945261	917240	945261
res/Ko1.png	2	929010	873489	464505
res/bYM.png	1	918073	892865	918073
Lock contention on Class loader classes (owner tid: 18446744073709551615)	1	904532	904532	904532
res/hqB.xml	1	901093	156250	901093
FlutterEngineConnectionRegistry#add SharedPreferencesPlugin	1	900625	750208	900625
com.ovopark.widget.AutoTextView	2	895157	895157	447578.5
AssetManager::OpenXmlAsset(res/interpolator/fast_out_linear_in.xml)	13	893960	893960	68766.15384615384
res/color/highlighted_text_material.xml	5	889950	254637	177990
res/pOh.png	1	883125	860833	883125
VerifyClass com.google.android.material.bottomsheet.BottomSheetDialog	1	865417	865417	865417
AssetManager::OpenXmlAsset(res/interpolator/linear_out_slow_in.xml)	12	848230	848230	70685.83333333333
androidx.coordinatorlayout.widget.CoordinatorLayout	10	826198	826198	82619.8
AwContents.createActivityWindow	1	816042	816042	816042
activityPause	1	763594	740573	763594
androidx.appcompat.widget.FitWindowsLinearLayout	10	755470	755470	75547
WebViewChromiumFactoryProvider.loadGlueLayerPlatSupportLibrary	1	741614	741614	741614
AssetManager::OpenXmlAsset(res/color/secondary_text_material_light.xml)	3	739375	739375	246458.33333333334
res/C3H.png	1	713021	693750	713021
androidx.appcompat.widget.ContentFrameLayout	11	706510	706510	64228.181818181816
std::unique_ptr<const DexFile> art::OatDexFile::OpenDexFile(std::string *) const	50	689012	176974	13780.24
FlutterEngineConnectionRegistry#add WebViewFlutterPlugin	1	687031	687031	687031
